Done in 1944.824 sec

SUMMARY: PASSRATE  142  99.301%  of  143  (46 were waived)

Test                        Status          Tops               Ops        SimCycles        SimTimeSec    SimCycles/sec  Description
------------------------------------------------------------------------------------------------------------------------
0-10conv_relu               PASS           0.000              2620            14817             2.726          5436.22  Resnet-like network with 10 Conv2D and Relu layer pairs
0-116conv_tanh              PASS           0.000             33466           188551            39.872          4728.85  Resnet-like network with 116 Conv2D and Relu layer pairs
0-1ap0                      PASS           0.000                33              213             0.035          6152.16  Single AvgPoll layer
0-1ap7x7                    PASS           0.001              6273             8499             2.014          4219.16  Single AvgPoll layer
0-1conv0                    PASS           0.000                 5              396             0.072          5521.93  Existence tests for 1 conv2D layer with 1x1 filter and 1x1 image. It multiplies 2 * 3 = 6.
0-1conv0_c1h16_wave         PASS           0.001               515              906             0.185          4894.57  Existance test for 1 conv2D layer with 1x1 filter, 16x16 image, 1 input channel
0-1conv0_c1h2               PASS           0.000                11              402             0.077          5238.19  Existence tests for 1 conv2D layer with 1x1 filter and 1x1 image. It multiplies 2 * 3 = 6.
0-1conv0_c1h2_wave          PASS           0.000                11              402             0.099          4050.54  Existance test for 1 conv2D layer with 1x1 filter, 2x2 image, 1 input channel
0-1conv0_h16r2s2_wave       PASS           0.000               515             1107             0.395          2800.96  Existence tests for 1 conv2D layer with 1x1 filter and 1x1 image. It multiplies 2 * 3 = 6.
0-1conv0_h16r3s2_wave       PASS_WAIVE_WAVESC   0.001              1155             2035             0.447             4555  Existence tests for 1 conv2D layer with 1x1 filter and 1x1 image. It multiplies 2 * 3 = 6.
0-1conv0_h55c256m1_wave     WAIVE_WAVESC   0.011        1.5488e+06           146399            29.819          4909.65  Existence tests for 1 conv2D layer with 1x1 filter and 1x1 image. It multiplies 2 * 3 = 6.
0-1conv0_wave               PASS           0.000                 5              396             0.236           1675.3  Existence test for wave scheduler
0-1conv1avgpool_wave        PASS_WAIVE_WAVESC   0.000                67              426             0.175          2428.53  Two Conv2D layers back to back
0-1conv1ba1                 PASS           0.000                38              639             0.221           2884.9  Two Conv2D layers back to back
0-1conv1ba1_fp32            PASS           0.000                38              639             0.126          5076.79  Two Conv2D layers back to back
0-1conv1ba1_fp32_wave       WAIVE_WAVESC   0.000                38                1            -1.000                0  Two Conv2D layers back to back
0-1conv1ba1_wave            WAIVE_WAVESC   0.000                38                1            -1.000                0  Two Conv2D layers back to back
0-1conv1maxpool_k3d2_wave   WAIVE_WAVESC   0.000               107                1            -1.000                0  Two Conv2D layers back to back
0-1conv1pool                PASS           0.000                67              573             0.090          6344.53  Two Conv2D layers back to back
0-1conv1pool_b5_wave        WAIVE_WAVESC   0.000               323                1            -1.000                0  Two Conv2D layers back to back
0-1conv1pool_b5m3_wave      WAIVE_WAVESC   0.000               963                1            -1.000                0  Two Conv2D layers back to back
0-1conv1pool_wave           PASS_WAIVE_WAVESC   0.000                67              426             0.084          5083.29  Two Conv2D layers back to back
0-1conv_h4r1_wave           PASS           0.000                35              426             0.084          5082.14  Two Conv2D layers back to back
0-1conv_h4r2s2_wave         PASS           0.000                35              807             0.158          5106.21  Two Conv2D layers back to back
0-1conv_h6r2s3_wave         PASS           0.000                35              807             0.229          3519.73  Two Conv2D layers back to back
0-1conv_h6r3s2_wave         PASS_WAIVE_WAVESC   0.000               165             1515             0.330          4596.54  Two Conv2D layers back to back
0-1conv_s2                  PASS           0.000                11              402             0.120          3343.06  Two Conv2D layers back to back
0-1conv_s8                  PASS           0.000                11              402             0.088          4557.87  Two Conv2D layers back to back
0-1conv_s8_32b              PASS           0.000                11              402             0.079          5117.63  Two Conv2D layers back to back
0-1conv_tile                PASS           0.001             22053            22716             4.839           4694.7  Single Conv2D layer with a large image
0-1conv_tile_r1_e1          PASS           0.001              2453             3900             0.755          5162.22  Single Conv2D layer with a large image
0-1conv_tile_r1_e1_wave     PASS           0.001              2453             3632             0.811          4480.96  Single Conv2D layer with a large image
0-1conv_tile_r1_wave        PASS           0.001              2453             3632             0.793          4579.76  Single Conv2D layer with a large image
0-1conv_tile_r1h32          PASS           0.001              2051             2838             0.599          4740.57  Single Conv2D layer with a large image
0-1conv_tile_r1h32_wave     PASS           0.001              2051             2968             0.636          4668.35  Single Conv2D layer with a large image
0-1conv_tile_wave           WAIVE_WAVESC   0.001             22053            18256             3.778           4831.6  Single Conv2D layer with a large image
0-1mp0                      PASS           0.000                33              213             0.051          4211.82  Single MaxPoll layer
0-1mp0c64                   PASS           0.000              2049             8466             1.686          5021.31  Single MaxPoll layer
0-1mp_r3s2                  PASS           0.000                73              233             0.046          5079.57  Single MaxPoll layer
0-1mp_r3s2_112_55           PASS           0.002             54451            27422             5.465          5018.09  Single MaxPoll layer
0-2conv0                    PASS           0.000                 9              726             0.141           5151.2  A unit test
0-2conv3_32b                PASS           0.000               291             1558             0.345          4520.04  A unit test
0-2conv3_relu               PASS           0.000               292             1705             0.339          5035.63  A unit test
0-2conv_pad2                PASS           0.000               131              852             0.163          5229.01  Single Conv2D layer that exercises padding
0-2conv_pad2as              PASS           0.000                35              800             0.160          5011.93  Single Conv2D layer that exercises padding
