Test,Status,TopsRaw,OpCountRaw,TopsEff,OpCountEff,SimCycles,SimTimeSec,SimCycles/sec,TotTimeSec,Description
0-10conv_relu_wave,PASS,0,1412,0,2852,0,-1e-06,0,480.49413323402405,Resnet-like network with 10 Conv2D and Relu layer pairs
0-1conv0_b16_wave,PASS,0,51,0,51,0,-1e-06,0,465.47909021377563,Existence tests for 1 conv2D layer with 1x1 filter and 1x1 image. It multiplies 2 * 3 = 6.
0-1conv0_c1h16_wave,PASS,0,771,0,771,0,-1e-06,0,450.4642434120178,"Existance test for 1 conv2D layer with 1x1 filter, 16x16 image, 1 input channel"
0-1conv0_c1h2_wave,PASS,0,15,0,15,0,-1e-06,0,435.44909167289734,"Existance test for 1 conv2D layer with 1x1 filter, 2x2 image, 1 input channel"
0-1conv0_h16r2s2_wave,PASS,0,774,0,774,0,-1e-06,0,405.4185092449188,Existence tests for 1 conv2D layer with 1x1 filter and 1x1 image. It multiplies 2 * 3 = 6.
0-1conv0_h16r3s2_wave,PASS,0,1287,0,1419,0,-1e-06,0,390.4038622379303,Existence tests for 1 conv2D layer with 1x1 filter and 1x1 image. It multiplies 2 * 3 = 6.
0-1conv0_h55c256m1_wave,PASS,0,2323458,0,2323458,0,-1e-06,0,375.3887372016907,Existence tests for 1 conv2D layer with 1x1 filter and 1x1 image. It multiplies 2 * 3 = 6.
0-1conv0_padvalid_wave,FAIL,0,1281804,0,1281804,0,-1e-06,0,360.37366795539856,Existence tests for 1 conv2D layer with 1x1 filter and 1x1 image. It multiplies 2 * 3 = 6.
0-1conv0_qemu_wave,PASS,0,6,0,6,0,-1e-06,0,330.3447222709656,Existence tests for 1 conv2D layer with 1x1 filter and 1x1 image. It multiplies 2 * 3 = 6.
0-1conv0_wave,PASS,0,6,0,6,0,-1e-06,0,315.32954716682434,Existence test for wave scheduler
0-1conv0m4_wave,PASS,0,15,0,15,0,-1e-06,0,300.314359664917,Existence tests for 1 conv2D layer with 1x1 filter and 1x1 image. It multiplies 2 * 3 = 6.
0-1conv0m8_wave,FAIL,0,27,0,27,0,-1e-06,0,285.30052495002747,Existence tests for 1 conv2D layer with 1x1 filter and 1x1 image. It multiplies 2 * 3 = 6.
0-1conv1avgpool_wave,FAIL,0,83,0,83,0,-1e-06,0,255.2865695953369,Two Conv2D layers back to back
0-1conv1ba1_fp32_wave,FAIL,0,226796349,0,236990724,0,-1e-06,0,240.2725887298584,Two Conv2D layers back to back
0-1conv1ba1_h1c64m64_fp32_wave,FAIL,0,12484,0,12484,0,-1e-06,0,225.25798630714417,Two Conv2D layers back to back
0-1conv1ba1_h1c64m64_wave,FAIL,0,12484,0,12484,0,-1e-06,0,210.24326515197754,Two Conv2D layers back to back
0-1conv1ba1_h4c1m1_fp32_wave,FAIL,0,70,0,70,0,-1e-06,0,180.21147799491882,Two Conv2D layers back to back
0-1conv1ba1_h4c2m2_fp32_wave,FAIL,0,202,0,202,0,-1e-06,0,165.1962070465088,Two Conv2D layers back to back
0-1conv1ba1_h4c2m2_wave,FAIL,0,202,0,202,0,-1e-06,0,150.18088102340698,Two Conv2D layers back to back
0-1conv1ba1_h55c1m1_b2_wave,FAIL,0,24206,0,24206,0,-1e-06,0,135.17415475845337,Two Conv2D layers back to back
0-1conv1ba1_h55c1m1_fp32_wave,FAIL,0,12106,0,12106,0,-1e-06,0,105.15357875823975,Two Conv2D layers back to back
0-1conv1ba1_h55c1m1_wave,PASS,0,12106,0,12106,0,-1e-06,0,405.54751777648926,Two Conv2D layers back to back
0-1conv1ba1_wave,FAIL,0,12820,0,12820,0,-1e-06,0,390.532320022583,Two Conv2D layers back to back
0-1conv1pool_wave,FAIL,0,8338,0,8338,0,-1e-06,0,375.51767587661743,Two Conv2D layers back to back
0-1conv_b1h1r1s1c2m2_tile_wave,PASS,0,16,0,16,0,-1e-06,0,345.5101275444031,Two Conv2D layers back to back
0-1conv_h4r1_b2_wave,PASS,0,99,0,99,0,-1e-06,0,330.49487113952637,Two Conv2D layers back to back
0-1conv_h4r1_wave,PASS,0,51,0,51,0,-1e-06,0,315.4399137496948,Two Conv2D layers back to back
0-1conv_h4r2s2_wave,PASS,0,54,0,54,0,-1e-06,0,300.4240708351135,Two Conv2D layers back to back
0-1conv_h4r3s1_b2_wave,PASS,0,299,0,619,0,-1e-06,0,270.41591477394104,Two Conv2D layers back to back
0-1conv_h4r3s1_wave,PASS,0,155,0,315,0,-1e-06,0,255.4003050327301,Two Conv2D layers back to back
0-1conv_h6r2s3_wave,PASS,0,74,0,74,0,-1e-06,0,240.38463521003723,Two Conv2D layers back to back
0-1conv_h6r3s2_b2_wave,PASS,0,321,0,407,0,-1e-06,0,225.3686604499817,Two Conv2D layers back to back
0-1conv_h6r3s2_wave,PASS,0,166,0,209,0,-1e-06,0,195.33603882789612,Two Conv2D layers back to back
0-1conv_s8_32b_wave,PASS,0,267,0,267,0,-1e-06,0,180.32185769081116,Two Conv2D layers back to back
0-1conv_s8_wave,PASS,0,267,0,267,0,-1e-06,0,165.30616569519043,Two Conv2D layers back to back
0-1conv_tile_r1_e1_wave,PASS,0,3678,0,3678,0,-1e-06,0,150.29034566879272,Single Conv2D layer with a large image
0-1conv_tile_r1_wave,PASS,0,3678,0,3678,0,-1e-06,0,120.26031613349915,Single Conv2D layer with a large image
0-1conv_tile_r1h32_wave,PASS,0,3075,0,3075,0,-1e-06,0,105.24445700645447,Single Conv2D layer with a large image
0-1conv_tile_wave,PASS,0,20966,0,23286,0,-1e-06,0,405.53725385665894,Single Conv2D layer with a large image
0-1mp_r3s2_16_wave,PASS,0,1139,0,1139,0,-1e-06,0,390.5223755836487,Single MaxPoll layer
0-2conv3_relu_b16_wave,PASS,0,2572,0,5132,0,-1e-06,0,360.4941556453705,A unit test
0-2conv3_relu_wave,PASS,0,172,0,332,0,-1e-06,0,345.4876232147217,A unit test
0-2matmult_add_fp32_wave,FAIL,0,4217352,0,4217352,0,-1e-06,0,330.4729120731354,"Two layer, BiasAdd followed by ResAdd"
0-3conv_ba_mult_fp32_wave,FAIL,0,31683,0,33629,0,-1e-06,0,315.31921672821045,A unit test
0-3conv_ba_resadd_fp16_wave,FAIL,0,113519,0,121028,0,-1e-06,0,285.3171429634094,"Two layer, BiasAdd followed by ResAdd"
0-3conv_ba_resadd_fp32_wave,FAIL,0,113519,0,121028,0,-1e-06,0,270.3023316860199,"Two layer, BiasAdd followed by ResAdd"
0-3conv_ba_resadd_h1_fp16_wave,FAIL,0,20,0,20,0,-1e-06,0,255.2876172065735,"Two layer, BiasAdd followed by ResAdd"
0-3conv_relu_wave,PASS,0,14,0,14,0,-1e-06,0,240.2722041606903,A unit test
0-ba_relu_fp32_wave,FAIL,0,12,0,12,0,-1e-06,0,210.24364256858826,A unit test
1-1conv0_c128_wave,PASS,0,514,0,514,0,-1e-06,0,195.22857522964478,Two Conv2D layers back to back
1-1conv0_c256_wave,PASS,0,1026,0,1026,0,-1e-06,0,180.2140030860901,Two Conv2D layers back to back
1-1conv0_h112c1m1_wave,PASS,0,37635,0,37635,0,-1e-06,0,165.20185828208923,Two Conv2D layers back to back
1-1conv0_h16c128_wave,PASS,0,98434,0,98434,0,-1e-06,0,135.18432903289795,Two Conv2D layers back to back
1-1conv0_h16c1m1_wave,PASS,0,1540,0,1540,0,-1e-06,0,120.18131303787231,Two Conv2D layers back to back
1-1conv0_h16c256_wave,PASS,0,196866,0,196866,0,-1e-06,0,105.16574215888977,Two Conv2D layers back to back
1-1conv0_h16c256m128_fp32_wave,FAIL,0,16875522,0,16875522,0,-1e-06,0,360.4296061992645,Two Conv2D layers back to back
1-1conv0_h16c256m128_wave,FAIL,0,16875522,0,16875522,0,-1e-06,0,330.41352128982544,Two Conv2D layers back to back
1-1conv0_h16c2m1_wave,PASS,0,1540,0,1540,0,-1e-06,0,315.3993978500366,Two Conv2D layers back to back
1-1conv0_h224c1m1_wave,PASS,0,75267,0,75267,0,-1e-06,0,300.38369584083557,Two Conv2D layers back to back
1-1conv0_h28c1m1_wave,PASS,0,2355,0,2355,0,-1e-06,0,285.3697192668915,Two Conv2D layers back to back
1-1conv0_h32c128m1_wave,PASS,0,393346,0,393346,0,-1e-06,0,255.2831757068634,Two Conv2D layers back to back
1-1conv0_h32c1m1_wave,PASS,0,3075,0,3075,0,-1e-06,0,240.26775932312012,Two Conv2D layers back to back
1-1conv0_h32c1m2_wave,PASS,0,5124,0,5124,0,-1e-06,0,225.25317072868347,Two Conv2D layers back to back
