Test,Status,TopsRaw,OpCountRaw,TopsEff,OpCountEff,SimCycles,SimTimeSec,SimCycles/sec,TotTimeSec,Description
0-10conv_relu_wave,PASS,0.0005782145782145782,1412,0.001167895167895168,2852,2442,1.043419,2340.382914246338,41.3876748085022,Resnet-like network with 10 Conv2D and Relu layer pairs
0-116conv_tanh_wave,WAIVE-ME_ACC,0,17842,0,36242,0,-1e-06,0,51.615219831466675,Resnet-like network with 116 Conv2D and Relu layer pairs
0-1ap0,PASS,0.001484848484848485,49,0.001484848484848485,49,33,0.126345,261.18959990502196,35.17371606826782,Single AvgPoll layer
0-1ap7x7,PASS,0.0064489376285126795,9409,0.0064489376285126795,9409,1459,0.540156,2701.071542295189,40.268288373947144,Single AvgPoll layer
0-1conv0,PASS,4.1958041958041954e-05,6,4.1958041958041954e-05,6,143,0.111217,1285.7746567521153,38.190319538116455,Existence tests for 1 conv2D layer with 1x1 filter and 1x1 image. It multiplies 2 * 3 = 6.
0-1conv0_b16_wave,PASS,4.545454545454545e-05,51,4.545454545454545e-05,51,1122,0.547769,2048.3086848653356,40.26698851585388,Existence tests for 1 conv2D layer with 1x1 filter and 1x1 image. It multiplies 2 * 3 = 6.
0-1conv0_c1h16_wave,PASS,0.0007859327217125383,771,0.0007859327217125383,771,981,0.420271,2334.2081656835708,43.50977444648743,"Existance test for 1 conv2D layer with 1x1 filter, 16x16 image, 1 input channel"
0-1conv0_c1h2,PASS,9.933774834437085e-05,15,9.933774834437085e-05,15,151,0.188881,799.4451532975789,40.266273021698,Existence tests for 1 conv2D layer with 1x1 filter and 1x1 image. It multiplies 2 * 3 = 6.
0-1conv0_c1h2_wave,PASS,5.415162454873646e-05,15,5.415162454873646e-05,15,277,0.19598,1413.4095315848556,38.187355756759644,"Existance test for 1 conv2D layer with 1x1 filter, 2x2 image, 1 input channel"
0-1conv0_h16r2s2_wave,PASS,0.0010810055865921788,774,0.0010810055865921788,774,716,0.158266,4524.029166087474,41.27646327018738,Existence tests for 1 conv2D layer with 1x1 filter and 1x1 image. It multiplies 2 * 3 = 6.
0-1conv0_h16r3s2_wave,PASS,0.001292168674698795,1287,0.0014246987951807228,1419,996,0.15111,6591.224935477467,39.21796941757202,Existence tests for 1 conv2D layer with 1x1 filter and 1x1 image. It multiplies 2 * 3 = 6.
0-1conv0_h55c256m1_wave,PASS,0.007289005590377774,2323458,0.007289005590377774,2323458,318762,56.327224,5659.1107703088655,96.9796690940857,Existence tests for 1 conv2D layer with 1x1 filter and 1x1 image. It multiplies 2 * 3 = 6.
0-1conv0_padvalid_wave,PASS,0.0020706988465639233,1281804,0.0020706988465639233,1281804,619020,101.623709,6091.295093352674,163.44461631774902,Existence tests for 1 conv2D layer with 1x1 filter and 1x1 image. It multiplies 2 * 3 = 6.
0-1conv0_qemu_wave,PASS,0,6,0,6,0,-1e-06,0,667.6662430763245,Existence tests for 1 conv2D layer with 1x1 filter and 1x1 image. It multiplies 2 * 3 = 6.
0-1conv0_wave,PASS,2.2222222222222223e-05,6,2.2222222222222223e-05,6,270,0.195012,1384.5301827579842,37.17570996284485,Existence test for wave scheduler
0-1conv0m16_wave,PASS,0.0001683168316831683,51,0.0001683168316831683,51,303,0.178447,1697.9831546621685,41.27182984352112,Existence tests for 1 conv2D layer with 1x1 filter and 1x1 image. It multiplies 2 * 3 = 6.
0-1conv0m4_wave,PASS,5.474452554744526e-05,15,5.474452554744526e-05,15,274,0.239111,1145.9113131558147,39.212397813797,Existence tests for 1 conv2D layer with 1x1 filter and 1x1 image. It multiplies 2 * 3 = 6.
0-1conv0m8_wave,PASS,9.507042253521127e-05,27,9.507042253521127e-05,27,284,0.129583,2191.6455090559716,42.44673418998718,Existence tests for 1 conv2D layer with 1x1 filter and 1x1 image. It multiplies 2 * 3 = 6.
0-1conv1avgpool_wave,PASS,0.0002585669781931464,83,0.0002585669781931464,83,321,0.211956,1514.4652663760403,41.2694947719574,Two Conv2D layers back to back
0-1conv1ba1_fp32_wave,PASS,0.20007723476106795,226796349,0.20907059981791618,236990724,1133544,174.834955,6483.508975650779,270.9158158302307,Two Conv2D layers back to back
0-1conv1ba1_h1c64m64_fp32_wave,PASS,0.0033550120935232465,12484,0.0033550120935232465,12484,3721,1.8145250000000002,2050.674418925063,39.209699392318726,Two Conv2D layers back to back
0-1conv1ba1_h1c64m64_wave,PASS,0.006069032571706368,12484,0.006069032571706368,12484,2057,0.992257,2073.0516388395345,42.44482684135437,Two Conv2D layers back to back
0-1conv1ba1_h4c1m1,PASS,0.000330188679245283,70,0.000330188679245283,70,212,0.133599,1586.8382248370124,41.26622819900513,Two Conv2D layers back to back
0-1conv1ba1_h4c1m1_fp32,PASS,0.00030701754385964913,70,0.00030701754385964913,70,228,0.103092,2211.616808287743,38.173773527145386,Two Conv2D layers back to back
0-1conv1ba1_h4c1m1_fp32_wave,PASS,0.00021739130434782607,70,0.00021739130434782607,70,322,0.051146,6295.702498729129,43.49232292175293,Two Conv2D layers back to back
0-1conv1ba1_h4c2m2_fp32_wave,PASS,0.0005754985754985756,202,0.0005754985754985756,202,351,0.223866,1567.902227225215,43.49247694015503,Two Conv2D layers back to back
0-1conv1ba1_h4c2m2_wave,PASS,0.0006215384615384616,202,0.0006215384615384616,202,325,0.107628,3019.6603114431186,42.44062829017639,Two Conv2D layers back to back
0-1conv1ba1_h55c1m1_b2_wave,PASS,0.002992088998763906,24206,0.002992088998763906,24206,8090,3.5045979999999997,2308.3959986280884,44.5467267036438,Two Conv2D layers back to back
