Test,Status,TopsRaw,OpCountRaw,TopsEff,OpCountEff,SimCycles,SimTimeSec,SimCycles/sec,TotTimeSec,Description
0-10conv_relu_wave,FAIL,0,1412,0,2852,0,-1e-06,0,1390.5097653865814,Resnet-like network with 10 Conv2D and Relu layer pairs
0-116conv_tanh_wave,FAIL,0,17842,0,36242,0,-1e-06,0,1122.2355575561523,Resnet-like network with 116 Conv2D and Relu layer pairs
0-1conv0_b16_wave,FAIL,0,51,0,51,0,-1e-06,0,322.359073638916,Existence tests for 1 conv2D layer with 1x1 filter and 1x1 image. It multiplies 2 * 3 = 6.
0-1conv0_c1h16_wave,PASS,0,771,0,771,0,-1e-06,0,324.33102583885193,"Existance test for 1 conv2D layer with 1x1 filter, 16x16 image, 1 input channel"
0-1conv0_c1h2_wave,PASS,0,15,0,15,0,-1e-06,0,303.3135759830475,"Existance test for 1 conv2D layer with 1x1 filter, 2x2 image, 1 input channel"
0-1conv0_ckpt_wave,PASS,0,6,0,6,0,-1e-06,0,300.3146502971649,Existence tests for 1 conv2D layer with 1x1 filter and 1x1 image. It multiplies 2 * 3 = 6.
0-1conv0_h16r2s2_wave,PASS,0,774,0,774,0,-1e-06,0,303.32111954689026,Existence tests for 1 conv2D layer with 1x1 filter and 1x1 image. It multiplies 2 * 3 = 6.
0-1conv0_h16r3s2_wave,PASS,0,1287,0,1419,0,-1e-06,0,317.33064675331116,Existence tests for 1 conv2D layer with 1x1 filter and 1x1 image. It multiplies 2 * 3 = 6.
0-1conv0_h55c256m1_wave,FAIL,0,2323458,0,2323458,0,-1e-06,0,1286.340182542801,Existence tests for 1 conv2D layer with 1x1 filter and 1x1 image. It multiplies 2 * 3 = 6.
0-1conv0_padvalid_wave,TIMEOUT,0,1281804,0,1281804,0,-1e-06,0,-1,Existence tests for 1 conv2D layer with 1x1 filter and 1x1 image. It multiplies 2 * 3 = 6.
0-1conv0_qemu_wave,PASS,0,6,0,6,0,-1e-06,0,442.4633150100708,Existence tests for 1 conv2D layer with 1x1 filter and 1x1 image. It multiplies 2 * 3 = 6.
0-1conv0_wave,PASS,0,6,0,6,0,-1e-06,0,299.3176829814911,Existence test for wave scheduler
