Test,Status,TopsRaw,OpCountRaw,TopsEff,OpCountEff,SimCycles,SimTimeSec,SimCycles/sec,TotTimeSec,Description
0-10conv_relu_wave,PASS,0.0005117796303008336,1412,0.0010337078651685395,2852,2759,0.207889,13271.505466859719,14.036458730697632,Resnet-like network with 10 Conv2D and Relu layer pairs
0-116conv_tanh_wave,PASS,0.0005394569752675817,17842,0.00109578520892544,36242,33074,3.261878,10139.557641334226,26.07950758934021,Resnet-like network with 116 Conv2D and Relu layer pairs
0-11conv_tanh_wave,PASS,0.0005149523496549457,1567,0.0010407492605980938,3167,3043,0.282714,10763.5278054854,14.036218881607056,Two Conv2D layers back to back
0-1avgpool_wave_h17c768m768k3d1_same,PASS,0.019030390536758528,3420275,0.02346385907515287,4217089,179727,0.170012,1057143.0251982214,25.066425323486328,A unit test
0-1avgpool_wave_h1c192m192k1d1_same,PASS,0.000744516129032258,577,0.000744516129032258,577,775,0.005391,143758.11537748098,14.034658908843994,A unit test
0-1avgpool_wave_h1c192m192k1d1_valid,PASS,0.000744516129032258,577,0.000744516129032258,577,775,0.009659000000000001,80236.0492804638,14.035006046295166,A unit test
0-1avgpool_wave_h35c192m192k3d1_same,PASS,0.019918533443565995,4023484,0.02212310578869983,4468801,201997,0.156135,1293732.9874787845,24.05659508705139,A unit test
0-1avgpool_wave_h35c256m256k3d1_same,PASS,0.02024600619685779,5364645,0.02248682318575855,5958401,264973,0.291932,907653.1521039145,27.076935052871704,A unit test
0-1avgpool_wave_h35c288m288k3d1_same,PASS,0.019769477201257858,6035226,0.02195755044549266,6703201,305280,0.28147500000000003,1084572.342126299,31.094213485717773,A unit test
0-1avgpool_wave_h71c192m192k3d1,PASS,0.01978636480646299,17448032,0.02085408376529931,18389569,881821,0.91128,967672.943551927,86.1789014339447,A unit test
0-1avgpool_wave_h71c1m1k3d1_same,PASS,0.001904438576637747,90876,0.0020072090196571525,95780,47718,0.094302,506012.5978240122,14.030588626861572,A unit test
0-1avgpool_wave_h71c1m1k3d1_valid,PASS,0.001975830157866086,90740,0.001975830157866086,90740,45925,0.08895,516301.29286115797,14.030327796936035,A unit test
0-1avgpool_wave_h8c1280m1280k3d1_same,PASS,0.014837883193727124,1025639,0.022517555661646628,1556481,69123,0.06995799999999999,988064.2671317077,19.040586233139038,A unit test
0-1avgpool_wave_h8c2048m2048k3d1_same,PASS,0.01483812107238121,1641022,0.022517916723179168,2490369,110595,0.075357,1467614.156614515,22.062182188034058,A unit test
0-1concat_h16c63m127ni5,WAIVE_INCEPTIONV3,0,20342937,0,20342937,0,-1e-06,0,21.069311380386353,A unit test
0-1concat_h17c1m1ni2,WAIVE_INCEPTIONV3,0,3767,0,3767,0,-1e-06,0,13.043106317520142,A unit test
0-1concat_h1c1m10ni5,WAIVE_INCEPTIONV3,0,322,0,322,0,-1e-06,0,13.042523860931396,A unit test
0-1concat_h1c1m1ni2,WAIVE_INCEPTIONV3,0,23,0,23,0,-1e-06,0,13.042239665985107,A unit test
0-1concat_h35c1m1ni2,WAIVE_INCEPTIONV3,0,12259,0,12259,0,-1e-06,0,13.041865348815918,A unit test
0-1concat_h35c63m127ni5,WAIVE_INCEPTIONV3,0,107000490,0,107000490,0,-1e-06,0,82.1589527130127,A unit test
0-1concat_h35c64m64ni4,WAIVE_INCEPTIONV3,0,91137672,0,91137672,0,-1e-06,0,102.18775057792664,A unit test
0-1conv-h8r3c4m4-relu_wave,PASS,0.010973568281938326,12455,0.016820264317180617,19091,1135,0.178457,6360.075536403728,19.052626371383667,Two Conv2D layers back to back
0-1conv0_b16_wave,PASS,4.194078947368421e-05,51,4.194078947368421e-05,51,1216,0.210722,5770.636193657995,24.05597972869873,Existence tests for 1 conv2D layer with 1x1 filter and 1x1 image. It multiplies 2 * 3 = 6.
0-1conv0_c1h16_wave,PASS,0.0007819472616632859,771,0.0007819472616632859,771,986,0.145663,6769.049106499249,23.05014204978943,"Existance test for 1 conv2D layer with 1x1 filter, 16x16 image, 1 input channel"
0-1conv0_c1h2_wave,PASS,4.411764705882353e-05,15,4.411764705882353e-05,15,340,0.119716,2840.054796351365,24.05516481399536,"Existance test for 1 conv2D layer with 1x1 filter, 2x2 image, 1 input channel"
0-1conv0_ckpt_wave,PASS,1.7964071856287423e-05,6,1.7964071856287423e-05,6,334,0.025609,13042.289819985162,11.022780418395996,Existence tests for 1 conv2D layer with 1x1 filter and 1x1 image. It multiplies 2 * 3 = 6.
0-1conv0_h16r2s2_wave,PASS,0.0010170827858081472,774,0.0010170827858081472,774,761,0.078037,9751.784409959379,23.04730248451233,Existence tests for 1 conv2D layer with 1x1 filter and 1x1 image. It multiplies 2 * 3 = 6.
0-1conv0_h16r3s2_wave,PASS,0.001215297450424929,1287,0.001339943342776204,1419,1059,0.202745,5223.310069298873,22.03904700279236,Existence tests for 1 conv2D layer with 1x1 filter and 1x1 image. It multiplies 2 * 3 = 6.
0-1conv0_h55c256m1_wave,PASS,0.007434280539974979,2323458,0.007434280539974979,2323458,312533,2.203089,141861.26842810254,46.070496559143066,Existence tests for 1 conv2D layer with 1x1 filter and 1x1 image. It multiplies 2 * 3 = 6.
0-1conv0_padvalid_wave,PASS,0.0019276001768490198,1281804,0.0019276001768490198,1281804,664974,188.36052800000002,3530.325631705598,383.5426688194275,Existence tests for 1 conv2D layer with 1x1 filter and 1x1 image. It multiplies 2 * 3 = 6.
0-1conv0_qemu_wave,PASS,0,6,0,6,0,-1e-06,0,1006.3322017192841,Existence tests for 1 conv2D layer with 1x1 filter and 1x1 image. It multiplies 2 * 3 = 6.
0-1conv0_wave,PASS,1.7964071856287423e-05,6,1.7964071856287423e-05,6,334,0.118467,2819.3505364363073,39.06039834022522,Existence test for wave scheduler
0-1conv0_wave_h35c288m64,PASS,0.25158663866939274,45529634,0.25158663866939274,45529634,180970,9.309516,19439.249043666718,73.10020041465759,Existence test for wave scheduler
0-1conv0m16_wave,PASS,0.00014488636363636364,51,0.00014488636363636364,51,352,0.045841,7678.715560306276,46.06381630897522,Existence tests for 1 conv2D layer with 1x1 filter and 1x1 image. It multiplies 2 * 3 = 6.
0-1conv0m4_wave,PASS,4.477611940298507e-05,15,4.477611940298507e-05,15,335,0.09211,3636.95581370101,46.065829038619995,Existence tests for 1 conv2D layer with 1x1 filter and 1x1 image. It multiplies 2 * 3 = 6.
0-1conv0m8_wave,PASS,7.917888563049854e-05,27,7.917888563049854e-05,27,341,0.139158,2450.4520041966684,50.080490827560425,Existence tests for 1 conv2D layer with 1x1 filter and 1x1 image. It multiplies 2 * 3 = 6.
0-1conv1avgpool_wave,PASS,0.00021282051282051282,83,0.00021282051282051282,83,390,0.14164,2753.4594747246542,52.08152365684509,Two Conv2D layers back to back
0-1conv1avgpool_wave_h16k3d1,WAIVE_INCEPTIONV3,0.0014160513643659712,4411,0.0017268057784911718,5379,3115,0.146538,21257.284799847137,50.081801652908325,Two Conv2D layers back to back
0-1conv1avgpool_wave_h17k3d1,WAIVE_INCEPTIONV3,0,5034,0,6072,0,-1e-06,0,35.05493497848511,Two Conv2D layers back to back
0-1conv1avgpool_wave_h18k3d1,WAIVE_INCEPTIONV3,0,5698,0,6807,0,-1e-06,0,45.0680046081543,Two Conv2D layers back to back
0-1conv1avgpool_wave_h32k3d1,WAIVE_INCEPTIONV3,0,19402,0,21507,0,-1e-06,0,38.05873775482178,Two Conv2D layers back to back
0-1conv1avgpool_wave_h35c128m128k3d1,WAIVE_INCEPTIONV3,0,42839508,0,43136386,0,-1e-06,0,48.071812868118286,Two Conv2D layers back to back
0-1conv1avgpool_wave_h35c16k3d1,WAIVE_INCEPTIONV3,0,65497,0,67602,0,-1e-06,0,42.05880355834961,Two Conv2D layers back to back
0-1conv1avgpool_wave_h35c192m192k3d1,WAIVE_INCEPTIONV3,0,94377149,0,94822466,0,-1e-06,0,71.10148692131042,Two Conv2D layers back to back
0-1conv1avgpool_wave_h35c196k3d1,WAIVE_INCEPTIONV3,0,618637,0,620742,0,-1e-06,0,37.05052661895752,Two Conv2D layers back to back
0-1conv1avgpool_wave_h35k3d1,WAIVE_INCEPTIONV3,0,19402,0,21507,0,-1e-06,0,39.05457043647766,Two Conv2D layers back to back
0-1conv1avgpool_wave_k3d1,WAIVE_INCEPTIONV3,0.0003713692946058091,179,0.0007033195020746888,339,482,0.098908,4873.215513406398,47.066072940826416,Two Conv2D layers back to back
0-1conv1ba1_fp32_wave,PASS,0.1796692772473083,226796349,0.18774531549181298,236990724,1262299,243.837179,5176.81103914018,519.7131457328796,Two Conv2D layers back to back
0-1conv1ba1_h1c1m1_wave,PASS,2.976190476190476e-05,10,2.976190476190476e-05,10,336,0.097749,3437.37531841758,49.06272006034851,Two Conv2D layers back to back
0-1conv1ba1_h1c64m64_fp32_wave,PASS,0.0031879468845760982,12484,0.0031879468845760982,12484,3916,0.198129,19764.90064553902,49.06297779083252,Two Conv2D layers back to back
0-1conv1ba1_h1c64m64_wave,PASS,0.005541056369285397,12484,0.005541056369285397,12484,2253,0.038992,57781.083299138285,45.05961060523987,Two Conv2D layers back to back
0-1conv1ba1_h4c1m1_fp32_wave,PASS,0.00018617021276595746,70,0.00018617021276595746,70,376,0.052386999999999996,7177.353160135149,42.06026577949524,Two Conv2D layers back to back
0-1conv1ba1_h4c1m256_wave,PASS,0.004788942846469929,12820,0.004788942846469929,12820,2677,0.28681500000000004,9333.54252741314,50.06411933898926,Two Conv2D layers back to back
0-1conv1ba1_h4c2m2_fp32_wave,PASS,0.0005126903553299492,202,0.0005126903553299492,202,394,0.076518,5149.11524085836,46.05729126930237,Two Conv2D layers back to back
0-1conv1ba1_h4c2m2_wave,PASS,0.000531578947368421,202,0.000531578947368421,202,380,0.028286,13434.207735275402,45.054622650146484,Two Conv2D layers back to back
0-1conv1ba1_h55c1m1_b2_wave,PASS,0.0028404130485801455,24206,0.0028404130485801455,24206,8522,4.293552,1984.8367971320715,57.06985902786255,Two Conv2D layers back to back
0-1conv1ba1_h55c1m1_fp32_wave,PASS,0.0010729415935478153,12106,0.0010729415935478153,12106,11283,2.490726,4530.004504710675,44.05294466018677,Two Conv2D layers back to back
0-1conv1ba1_h55c1m1_wave,PASS,0.002985450061652281,12106,0.002985450061652281,12106,4055,1.111545,3648.0754265459336,50.061867475509644,Two Conv2D layers back to back
0-1conv1ba1_wave,PASS,0.004788942846469929,12820,0.004788942846469929,12820,2677,0.547581,4888.774446154998,42.05810022354126,Two Conv2D layers back to back
0-1conv1maxpool_c128m64h128_val_wave,PASS,2.1291736075615524,2345214466,2.1291736075615524,2345214466,1101467,187.836614,5863.963242012018,484.6534049510956,Two Conv2D layers back to back
0-1conv1maxpool_c128m64h16_val_wave,PASS,0.6145973030758484,29032962,0.6145973030758484,29032962,47239,3.137361,15056.922043717635,60.0806782245636,Two Conv2D layers back to back
0-1conv1maxpool_k3d2_wave,WAIVE_WAVESC,0,91,0,603,0,-1e-06,0,32.0438756942749,Two Conv2D layers back to back
0-1conv1maxpool_wave_h17c128k3d1,WAIVE_INCEPTIONV3,0,115156,0,115156,0,-1e-06,0,30.035216808319092,Two Conv2D layers back to back
0-1conv1maxpool_wave_h17c196k3d1,WAIVE_INCEPTIONV3,0,174180,0,174180,0,-1e-06,0,34.04801273345947,Two Conv2D layers back to back
0-1conv1maxpool_wave_h17k3d1,WAIVE_INCEPTIONV3,0,4920,0,4920,0,-1e-06,0,30.042414903640747,Two Conv2D layers back to back
0-1conv1maxpool_wave_h71k3d1,WAIVE_INCEPTIONV3,0,100824,0,100824,0,-1e-06,0,36.0507915019989,Two Conv2D layers back to back
0-1conv1maxpool_wave_k3d1,PASS,0.0003,123,0.0003,123,410,0.121636,3370.7126179749416,38.057265281677246,Two Conv2D layers back to back
0-1conv1pool_b5_wave,WAIVE_WAVESC,0,403,0,403,0,-1e-06,0,32.04460883140564,Two Conv2D layers back to back
0-1conv1pool_b5m3_wave,WAIVE_WAVESC,0,1045,0,1045,0,-1e-06,0,29.04366946220398,Two Conv2D layers back to back
0-1conv1pool_wave,PASS,0.009102620087336245,8338,0.009102620087336245,8338,916,0.26888100000000004,3406.7115192222577,36.05395436286926,Two Conv2D layers back to back
0-1conv_b1h1r1s1c2m2_tile_wave,PASS,4.761904761904762e-05,16,4.761904761904762e-05,16,336,0.145446,2310.1357204735777,36.05350971221924,Two Conv2D layers back to back
0-1conv_c128m64h128_waveg,PASS,1.6534592825237986,2344325828,1.7054853406365076,2418089986,1417831,134.62677300000001,10531.567892517189,488.60849165916443,Two Conv2D layers back to back
