TestName,TotInstrCount,PeInstrCount,ActInstrCount,PoolInstrCount,ActiveRows,ActiveCols,ActiveChannels,TotUniqWaitEventCount,TotWaitEventCount,TotUniqSetEventCount,TotSetEventCount,PeInstructions,ActInstructions,PoolInstructions
0-1mp_r3s2_16_wave,16,3,3,10,0,0,1,3,3,2,2,NOP 1  WRITE 2  ,NOP 1  WRITE 2  ,NOP 5  POOL 1  WRITE 4  
0-rtl-act_h2c16_wave,17,3,4,10,0,0,16,3,3,2,2,NOP 1  WRITE 2  ,ACTIVATION 1  NOP 1  WRITE 2  ,NOP 6  WRITE 4  
0-act_wave,18,3,5,10,0,0,64,3,3,2,2,NOP 1  WRITE 2  ,ACTIVATION 2  NOP 1  WRITE 2  ,NOP 6  WRITE 4  
0-1conv0_c1h16_wave,21,8,3,10,1,4,1,3,3,2,2,LDWEIGHTS 1  MATMUL 1  NOP 2  WRITE 4  ,NOP 1  WRITE 2  ,NOP 5  POOL 1  WRITE 4  
0-1conv0_c1h2_wave,21,8,3,10,1,4,1,3,3,2,2,LDWEIGHTS 1  MATMUL 1  NOP 2  WRITE 4  ,NOP 1  WRITE 2  ,NOP 5  POOL 1  WRITE 4  
0-1conv0_ckpt_wave,21,8,3,10,1,4,1,3,3,2,2,LDWEIGHTS 1  MATMUL 1  NOP 2  WRITE 4  ,NOP 1  WRITE 2  ,NOP 5  POOL 1  WRITE 4  
0-1conv0_qemu_wave,21,8,3,10,1,4,1,3,3,2,2,LDWEIGHTS 1  MATMUL 1  NOP 2  WRITE 4  ,NOP 1  WRITE 2  ,NOP 5  POOL 1  WRITE 4  
0-1conv0_subnormal_wave,21,8,3,10,1,4,1,3,3,2,2,LDWEIGHTS 1  MATMUL 1  NOP 2  WRITE 4  ,NOP 1  WRITE 2  ,NOP 5  POOL 1  WRITE 4  
0-1conv0_wave,21,8,3,10,1,4,1,3,3,2,2,LDWEIGHTS 1  MATMUL 1  NOP 2  WRITE 4  ,NOP 1  WRITE 2  ,NOP 5  POOL 1  WRITE 4  
0-1conv0m16_wave,21,8,3,10,1,16,16,3,3,2,2,LDWEIGHTS 1  MATMUL 1  NOP 2  WRITE 4  ,NOP 1  WRITE 2  ,NOP 5  POOL 1  WRITE 4  
0-1conv0m4_wave,21,8,3,10,1,4,4,3,3,2,2,LDWEIGHTS 1  MATMUL 1  NOP 2  WRITE 4  ,NOP 1  WRITE 2  ,NOP 5  POOL 1  WRITE 4  
0-1conv0m8_wave,21,8,3,10,1,8,8,3,3,2,2,LDWEIGHTS 1  MATMUL 1  NOP 2  WRITE 4  ,NOP 1  WRITE 2  ,NOP 5  POOL 1  WRITE 4  
0-1conv_b1h1r1s1c2m2_tile_wave,21,8,3,10,2,4,2,3,3,2,2,LDWEIGHTS 1  MATMUL 1  NOP 2  WRITE 4  ,NOP 1  WRITE 2  ,NOP 5  POOL 1  WRITE 4  
0-1conv_h4r1_wave,21,8,3,10,1,4,1,3,3,2,2,LDWEIGHTS 1  MATMUL 1  NOP 2  WRITE 4  ,NOP 1  WRITE 2  ,NOP 5  POOL 1  WRITE 4  
0-1conv_s8_32b_wave,21,8,3,10,1,2,1,3,3,2,2,LDWEIGHTS 1  MATMUL 1  NOP 2  WRITE 4  ,NOP 1  WRITE 2  ,NOP 5  POOL 1  WRITE 4  
0-1conv_s8_wave,21,8,3,10,1,4,1,3,3,2,2,LDWEIGHTS 1  MATMUL 1  NOP 2  WRITE 4  ,NOP 1  WRITE 2  ,NOP 5  POOL 1  WRITE 4  
0-resadd_wave,21,6,5,10,0,0,1,3,3,2,2,NOP 2  WRITE 4  ,ACTIVATION 1  NOP 2  WRITE 2  ,NOP 5  TENSOR_TENSOR_OP 1  WRITE 4  
0-rtl-1conv_h2c16_wave,21,8,3,10,16,4,1,3,3,2,2,LDWEIGHTS 1  MATMUL 1  NOP 2  WRITE 4  ,NOP 1  WRITE 2  ,NOP 5  POOL 1  WRITE 4  
0-rtl-1conv_m8_wave,21,8,3,10,1,8,8,3,3,2,2,LDWEIGHTS 1  MATMUL 1  NOP 2  WRITE 4  ,NOP 1  WRITE 2  ,NOP 5  POOL 1  WRITE 4  
0-rtl-1conv_wave,21,8,3,10,1,4,1,3,3,2,2,LDWEIGHTS 1  MATMUL 1  NOP 2  WRITE 4  ,NOP 1  WRITE 2  ,NOP 5  POOL 1  WRITE 4  
0-rtl-resadd_h1c1_wave,21,6,5,10,0,0,1,3,3,2,2,NOP 2  WRITE 4  ,ACTIVATION 1  NOP 2  WRITE 2  ,NOP 5  TENSOR_TENSOR_OP 1  WRITE 4  
1-1conv0_c128_wave,21,8,3,10,128,4,1,3,3,2,2,LDWEIGHTS 1  MATMUL 1  NOP 2  WRITE 4  ,NOP 1  WRITE 2  ,NOP 5  POOL 1  WRITE 4  
1-1conv0_h16c128_wave,21,8,3,10,128,4,1,3,3,2,2,LDWEIGHTS 1  MATMUL 1  NOP 2  WRITE 4  ,NOP 1  WRITE 2  ,NOP 5  POOL 1  WRITE 4  
1-1conv0_h16c1m1_wave,21,8,3,10,2,4,1,3,3,2,2,LDWEIGHTS 1  MATMUL 1  NOP 2  WRITE 4  ,NOP 1  WRITE 2  ,NOP 5  POOL 1  WRITE 4  
1-1conv0_h16c2m1_wave,21,8,3,10,2,4,1,3,3,2,2,LDWEIGHTS 1  MATMUL 1  NOP 2  WRITE 4  ,NOP 1  WRITE 2  ,NOP 5  POOL 1  WRITE 4  
1-1conv0_m2_wave,21,8,3,10,1,4,2,3,3,2,2,LDWEIGHTS 1  MATMUL 1  NOP 2  WRITE 4  ,NOP 1  WRITE 2  ,NOP 5  POOL 1  WRITE 4  
1-1conv0_m64_wave,21,8,3,10,1,64,64,3,3,2,2,LDWEIGHTS 1  MATMUL 1  NOP 2  WRITE 4  ,NOP 1  WRITE 2  ,NOP 5  POOL 1  WRITE 4  
1-1conv0_wave,21,8,3,10,33,4,1,3,3,2,2,LDWEIGHTS 1  MATMUL 1  NOP 2  WRITE 4  ,NOP 1  WRITE 2  ,NOP 5  POOL 1  WRITE 4  
1-1conv_transpose_s2_wave,21,8,3,10,1,4,1,3,3,2,2,LDWEIGHTS 1  MATMUL 1  NOP 2  WRITE 4  ,NOP 1  WRITE 2  ,NOP 5  POOL 1  WRITE 4  
1-1conv_transpose_s4_wave,21,8,3,10,1,4,1,3,3,2,2,LDWEIGHTS 1  MATMUL 1  NOP 2  WRITE 4  ,NOP 1  WRITE 2  ,NOP 5  POOL 1  WRITE 4  
1-1conv_transpose_wave,21,8,3,10,1,4,1,3,3,2,2,LDWEIGHTS 1  MATMUL 1  NOP 2  WRITE 4  ,NOP 1  WRITE 2  ,NOP 5  POOL 1  WRITE 4  
3-rn50-t00_wave,21,8,3,10,1,4,1,3,3,2,2,LDWEIGHTS 1  MATMUL 1  NOP 2  WRITE 4  ,NOP 1  WRITE 2  ,NOP 5  POOL 1  WRITE 4  
0-1avgpool_wave_h1c192m192k1d1_same,22,3,3,16,0,0,64,4,4,2,2,NOP 1  WRITE 2  ,NOP 1  WRITE 2  ,NOP 7  POOL 3  WRITE 6  
0-1avgpool_wave_h1c192m192k1d1_valid,22,3,3,16,0,0,64,4,4,2,2,NOP 1  WRITE 2  ,NOP 1  WRITE 2  ,NOP 7  POOL 3  WRITE 6  
0-1maxpool_wave_h1c192m192k1d1_same,22,3,3,16,0,0,64,4,4,2,2,NOP 1  WRITE 2  ,NOP 1  WRITE 2  ,NOP 7  POOL 3  WRITE 6  
0-1maxpool_wave_h1c192m192k1d1_valid,22,3,3,16,0,0,64,4,4,2,2,NOP 1  WRITE 2  ,NOP 1  WRITE 2  ,NOP 7  POOL 3  WRITE 6  
0-rtl-resadd_h16c128_wave,23,6,6,11,0,0,64,4,4,3,3,NOP 2  WRITE 4  ,ACTIVATION 2  NOP 2  WRITE 2  ,NOP 5  TENSOR_TENSOR_OP 2  WRITE 4  
1-1conv0_m128_wave,24,10,3,11,1,64,64,4,4,2,2,LDWEIGHTS 2  MATMUL 2  NOP 2  WRITE 4  ,NOP 1  WRITE 2  ,NOP 5  POOL 2  WRITE 4  
0-1conv1avgpool_wave,25,11,3,11,1,4,1,4,4,2,2,LDWEIGHTS 1  MATMUL 1  NOP 5  WRITE 4  ,NOP 1  WRITE 2  ,NOP 5  POOL 2  WRITE 4  
0-1conv1ba1_h1c1m1_wave,25,10,5,10,1,4,1,3,3,2,2,LDWEIGHTS 1  MATMUL 1  NOP 3  WRITE 5  ,ACTIVATION 1  NOP 2  WRITE 2  ,NOP 6  WRITE 4  
0-1conv1ba1_h1c64m64_wave,25,10,5,10,64,64,64,3,3,2,2,LDWEIGHTS 1  MATMUL 1  NOP 3  WRITE 5  ,ACTIVATION 1  NOP 2  WRITE 2  ,NOP 6  WRITE 4  
0-1conv1ba1_h4c2m2_wave,25,10,5,10,2,4,2,3,3,2,2,LDWEIGHTS 1  MATMUL 1  NOP 3  WRITE 5  ,ACTIVATION 1  NOP 2  WRITE 2  ,NOP 6  WRITE 4  
0-1conv1maxpool_wave_k3d1,25,11,3,11,1,4,1,4,4,2,2,LDWEIGHTS 1  MATMUL 1  NOP 5  WRITE 4  ,NOP 1  WRITE 2  ,NOP 5  POOL 2  WRITE 4  
0-1conv_h4_sigmoid_wave,25,10,5,10,1,4,1,3,3,2,2,LDWEIGHTS 1  MATMUL 1  NOP 3  WRITE 5  ,ACTIVATION 1  NOP 2  WRITE 2  ,NOP 6  WRITE 4  
0-rtl-1conv1avgpool_h16c128m64_same_wave,25,11,3,11,128,64,64,4,4,2,2,LDWEIGHTS 1  MATMUL 1  NOP 5  WRITE 4  ,NOP 1  WRITE 2  ,NOP 5  POOL 2  WRITE 4  
0-rtl-1conv1avgpool_h4c1m1_same_wave,25,11,3,11,1,4,1,4,4,2,2,LDWEIGHTS 1  MATMUL 1  NOP 5  WRITE 4  ,NOP 1  WRITE 2  ,NOP 5  POOL 2  WRITE 4  
0-rtl-1conv1maxpool_h16c128m64_wave,25,11,3,11,128,64,64,4,4,2,2,LDWEIGHTS 1  MATMUL 1  NOP 5  WRITE 4  ,NOP 1  WRITE 2  ,NOP 5  POOL 2  WRITE 4  
0-rtl-1conv1maxpool_h1c1m1_wave,25,11,3,11,1,4,1,4,4,2,2,LDWEIGHTS 1  MATMUL 1  NOP 5  WRITE 4  ,NOP 1  WRITE 2  ,NOP 5  POOL 2  WRITE 4  
0-rtl-2conv3_relu_h1c1m1r3_wave,25,10,5,10,1,4,1,3,3,2,2,LDWEIGHTS 1  MATMUL 1  NOP 3  WRITE 5  ,ACTIVATION 1  NOP 2  WRITE 2  ,NOP 6  WRITE 4  
0-rtl-rn50_ba_relu_h16c128m64_fp16_wave,25,10,5,10,128,64,64,3,3,2,2,LDWEIGHTS 1  MATMUL 1  NOP 3  WRITE 5  ,ACTIVATION 1  NOP 2  WRITE 2  ,NOP 6  WRITE 4  
0-rtl-rn50_ba_relu_h1c1m1_fp16_wave,25,10,5,10,1,4,1,3,3,2,2,LDWEIGHTS 1  MATMUL 1  NOP 3  WRITE 5  ,ACTIVATION 1  NOP 2  WRITE 2  ,NOP 6  WRITE 4  
0-1conv0_h16r2s2_wave,27,14,3,10,1,4,1,3,3,2,2,LDWEIGHTS 4  MATMUL 4  NOP 2  WRITE 4  ,NOP 1  WRITE 2  ,NOP 5  POOL 1  WRITE 4  
0-1conv_h4r1_b2_wave,27,9,3,15,1,4,1,3,3,2,2,LDWEIGHTS 1  MATMUL 1  NOP 3  WRITE 4  ,NOP 1  WRITE 2  ,NOP 7  POOL 2  WRITE 6  
0-1conv_h4r2s2_wave,27,14,3,10,1,4,1,3,3,2,2,LDWEIGHTS 4  MATMUL 4  NOP 2  WRITE 4  ,NOP 1  WRITE 2  ,NOP 5  POOL 1  WRITE 4  
0-1conv_h6r2s3_wave,27,14,3,10,1,4,1,3,3,2,2,LDWEIGHTS 4  MATMUL 4  NOP 2  WRITE 4  ,NOP 1  WRITE 2  ,NOP 5  POOL 1  WRITE 4  
0-1conv_tile_r1h32_wave,27,11,3,13,1,4,1,6,6,2,2,LDWEIGHTS 1  MATMUL 4  NOP 2  WRITE 4  ,NOP 1  WRITE 2  ,NOP 5  POOL 4  WRITE 4  
0-rtl-1conv_h4r2c8m4_wave,27,14,3,10,8,4,4,3,3,2,2,LDWEIGHTS 4  MATMUL 4  NOP 2  WRITE 4  ,NOP 1  WRITE 2  ,NOP 5  POOL 1  WRITE 4  
1-1conv0_c256_wave,27,12,3,12,128,4,1,3,3,2,2,LDWEIGHTS 2  MATMUL 2  NOP 3  WRITE 5  ,NOP 1  WRITE 2  ,NOP 6  POOL 1  WRITE 5  
1-1conv0_h16c256_wave,27,12,3,12,128,4,1,3,3,2,2,LDWEIGHTS 2  MATMUL 2  NOP 3  WRITE 5  ,NOP 1  WRITE 2  ,NOP 6  POOL 1  WRITE 5  
1-1conv0_h28c1m1_wave,27,11,3,13,1,4,1,6,6,2,2,LDWEIGHTS 1  MATMUL 4  NOP 2  WRITE 4  ,NOP 1  WRITE 2  ,NOP 5  POOL 4  WRITE 4  
1-1conv0_h32c128m1_wave,27,11,3,13,128,4,1,6,6,2,2,LDWEIGHTS 1  MATMUL 4  NOP 2  WRITE 4  ,NOP 1  WRITE 2  ,NOP 5  POOL 4  WRITE 4  
1-1conv0_h32c1m1_wave,27,11,3,13,1,4,1,6,6,2,2,LDWEIGHTS 1  MATMUL 4  NOP 2  WRITE 4  ,NOP 1  WRITE 2  ,NOP 5  POOL 4  WRITE 4  
1-1conv0_h32c1m2_wave,27,11,3,13,1,4,2,6,6,2,2,LDWEIGHTS 1  MATMUL 4  NOP 2  WRITE 4  ,NOP 1  WRITE 2  ,NOP 5  POOL 4  WRITE 4  
1-1conv0_h32c2m1_wave,27,11,3,13,2,4,1,6,6,2,2,LDWEIGHTS 1  MATMUL 4  NOP 2  WRITE 4  ,NOP 1  WRITE 2  ,NOP 5  POOL 4  WRITE 4  
1-1conv0_h32c4m1_wave,27,11,3,13,4,4,1,6,6,2,2,LDWEIGHTS 1  MATMUL 4  NOP 2  WRITE 4  ,NOP 1  WRITE 2  ,NOP 5  POOL 4  WRITE 4  
1-1conv0_h32c64m1_wave,27,11,3,13,64,4,1,6,6,2,2,LDWEIGHTS 1  MATMUL 4  NOP 2  WRITE 4  ,NOP 1  WRITE 2  ,NOP 5  POOL 4  WRITE 4  
1-1conv0_h32c8m1_wave,27,11,3,13,8,4,1,6,6,2,2,LDWEIGHTS 1  MATMUL 4  NOP 2  WRITE 4  ,NOP 1  WRITE 2  ,NOP 5  POOL 4  WRITE 4  
1-1conv_transpose_h8s4_wave,27,11,3,13,1,4,1,6,6,2,2,LDWEIGHTS 1  MATMUL 4  NOP 2  WRITE 4  ,NOP 1  WRITE 2  ,NOP 5  POOL 4  WRITE 4  
3-rn50_pool2_wave,27,12,3,12,128,64,64,5,5,2,2,LDWEIGHTS 1  MATMUL 1  NOP 6  WRITE 4  ,NOP 1  WRITE 2  ,NOP 6  POOL 2  WRITE 4  
0-1conv1pool_wave,29,13,3,13,1,64,64,5,5,2,2,LDWEIGHTS 2  MATMUL 2  NOP 5  WRITE 4  ,NOP 1  WRITE 2  ,NOP 5  POOL 4  WRITE 4  
