Test,Status,TopsRaw,OpCountRaw,TopsEff,OpCountEff,SimCycles,SimTimeSec,SimCycles/sec,TotTimeSec,Description
5-inceptionv3_wave_dog_sg00_tpb_upto_concat1,PASS,0.12038589716725516,3237431391,0.12387873482617488,3331361183,26892115,-1.000001,0,327.80845737457275,Full size networks using wave scheduler
5-inceptionv3_wave_dog_sg00_tpb_upto_concat2,PASS,0.3129994889668887,3849460523,0.32655926406678604,4016226990,12298616,-1.000001,0,277.530131816864,Full size networks using wave scheduler
5-rn50_nne_to_act13_wave-no_repl,PASS,0.10708102656856482,2046893657,0.11158652408124728,2133017918,19115372,-1.000001,0,202.1342532634735,Full size networks using wave scheduler
5-rn50_nne_to_act13_wave-repl,PASS,0.13288498002953744,2046893657,0.13847619414264253,2133017918,15403499,-1.000001,0,200.0533413887024,Full size networks using wave scheduler
5-rn50_nne_to_act4_wave-no_repl,PASS,0.07876161369569647,664933897,0.0817904855988136,690504724,8442360,-1.000001,0,141.80469965934753,Full size networks using wave scheduler
5-rn50_nne_to_act4_wave-repl,PASS,0.07248733084380916,664933897,0.07527491770779905,690504724,9173105,-1.000001,0,142.72424483299255,Full size networks using wave scheduler
6-inceptionv3_wave_dog_sg00_tpb_upto_concat4,PASS,0.1590811093793401,5274111627,0.16674023192835072,5528039120,33153601,-1.000001,0,435.3615279197693,Full size networks using wave scheduler
6-inceptionv3_wave_dog_sg00_tpb_upto_concat5,PASS,0.12241285450882565,5906791141,0.1302004483241778,6282566139,48253030,-1.000001,0,538.8845705986023,Full size networks using wave scheduler
6-parwavenet_10_fp16_tanh_to_add12_wave,FAIL,0.06527927423932825,776791703,0.06528346398991892,776841559,11899515,-1.000001,0,206.0581488609314,Full size networks using wave scheduler
6-parwavenet_10_fp16_tanh_to_add15_wave,FAIL,0.10926825929444758,895344663,0.10927434374277291,895394519,8194005,-1.000001,0,136.6995894908905,Full size networks using wave scheduler
6-parwavenet_10_fp16_tanh_to_add18_wave,FAIL,0.11399395707855645,1111865823,0.11399906856108118,1111915679,9753726,-1.000001,0,124.65121936798096,Full size networks using wave scheduler
6-parwavenet_10_fp16_tanh_to_add22_wave,FAIL,0.15235732925029905,1198947207,0.1523636647477778,1198997063,7869311,-1.000001,0,170.89905905723572,Full size networks using wave scheduler
6-parwavenet_10_fp16_tanh_to_add9_wave,FAIL,0.07596365811534792,560356559,0.0759704167480045,560406415,7376640,-1.000001,0,103.54475784301758,Full size networks using wave scheduler
6-rn50_nne_to_act22_wave-no_repl,PASS,0.15758682373117971,3273342602,0.16603707312606486,3448868453,20771677,-1.000001,0,252.39576125144958,Full size networks using wave scheduler
6-rn50_nne_to_act22_wave-repl,PASS,0.1872818443219691,3273342602,0.19732442436885386,3448868453,17478163,-1.000001,0,250.29128098487854,Full size networks using wave scheduler
6-rn50_nne_to_act25_wave-repl,PASS,0.22567792805324116,3812739226,0.23927492807762762,4042455157,16894604,-1.000001,0,256.32625937461853,Full size networks using wave scheduler
6-rn50_nne_to_act28_wave-repl,PASS,0.1333676314828101,4197199527,0.14238885432609635,4481105538,31470901,-1.000001,0,325.68460965156555,Full size networks using wave scheduler
6-rn50_nne_to_act37_wave-repl,PASS,0.08238212846630433,5350580430,0.08925646001747696,5797056681,64948315,-1.000001,0,445.3071506023407,Full size networks using wave scheduler
6-rn50_nne_to_act40_wave-repl,PASS,0.06642019214860302,5735040731,0.0722186433658026,6235707062,86344838,-1.000001,0,574.9604716300964,Full size networks using wave scheduler
6-rn50_nne_to_act43_wave-repl,PASS,0.0474411776751679,6241207246,0.051941204796542864,6833216198,131556752,-1.000001,0,800.1126811504364,Full size networks using wave scheduler
6-rn50_nne_to_act46_wave-no_repl,PASS,0.0476307969416835,6591457471,0.05256879132439993,7274809043,138386462,-1.000001,0,797.2572462558746,Full size networks using wave scheduler
6-rn50_nne_to_act46_wave-repl,PASS,0.046938455842235466,6591457471,0.051804673629145946,7274809043,140427659,-1.000001,0,742.9201972484589,Full size networks using wave scheduler
6-rn50_nne_to_act49_wave-no_repl,PASS,0.0377461390114965,6941707696,0.041958606021520684,7716401888,183905106,-1.000001,0,939.9815835952759,Full size networks using wave scheduler
6-rn50_nne_to_act49_wave-repl,PASS,0.04355624042641586,6941707696,0.048417114430537846,7716401888,159373436,-1.000001,0,841.400556564331,Full size networks using wave scheduler
7-amoebanet_fp16_cell1,WAIVE_AMOEBA_KAENA923,0,2116161420,0,2163273921,0,-1e-06,0,87.42634177207947,Full size networks
7-amoebanet_fp16_cell11,WAIVE_AMOEBA_KAENA923,0,2768423489,0,2907738689,0,-1e-06,0,165.86361408233643,Full size networks
7-amoebanet_fp16_cell5,WAIVE_AMOEBA_KAENA923,0,2352399575,0,2433702721,0,-1e-06,0,97.49594902992249,Full size networks
7-amoebanet_fp16_cell9,WAIVE_AMOEBA_KAENA923,0,2557454913,0,2696770113,0,-1e-06,0,135.71109771728516,Full size networks
7-parwavenet_10_fp16_tanh_to_add24_wave,FAIL,0.10596389222081874,1198956433,0.1059682984991998,1199006289,11314764,-1.000001,0,153.78493666648865,Full size networks using wave scheduler
7-rn50_nne_fp16_b4_wave,PASS,0.10307277660159046,27699659141,0.11460358728487066,30798435909,268738847,-1.000001,0,1697.8972899913788,Full size networks using wave scheduler
7-rn50_nne_fp16_b4_wave-no_repl,PASS,0.09416704579057791,27699659141,0.10470156725604676,30798435909,294154488,-1.000001,0,2013.9344861507416,Full size networks using wave scheduler
7-rn50_nne_fp16_wave-no_repl,PASS,0.024296879219014394,6944062829,0.027007489949102872,7718757021,285800607,-1.000001,0,1436.5429792404175,"Key qemu functional test - Resnet50 except softmax, batch 1 without replication (slow)"
