Test,Status,TopsRaw,OpCountRaw,TopsEff,OpCountEff,SimCycles,SimTimeSec,SimCycles/sec,TotTimeSec,Description
0-116conv_tanh_sem_qemu_wave,PASS,0.0004042596578679053,17842,0.0008211623428118273,36242,44135,-1.000001,0,190.99103140830994,Resnet-like network with 116 Conv2D and Relu layer pairs
0-116conv_tanh_wave,PASS,0.00039807233216572593,17842,0.0008085941857611387,36242,44821,-1.000001,0,213.24390864372253,Resnet-like network with 116 Conv2D and Relu layer pairs
0-11conv_tanh_wave,PASS,0.00020499738356881213,1567,0.00041431187859759284,3167,7644,-1.000001,0,190.12330174446106,Two Conv2D layers back to back
0-1_concat_multi,PASS,0.006679370397737407,1048581,0.006679370397737407,1048581,156988,-1.000001,0,236.3173086643219,A unit test
0-1avgpool_h16c128m64k1d1_valid_wave,PASS,0.011788583763041132,98305,0.011788583763041132,98305,8339,-1.000001,0,244.3152768611908,A unit test
0-1avgpool_h16c128m64k3d1_valid_wave,PASS,0.033797571697718236,484353,0.033797571697718236,484353,14331,-1.000001,0,231.24576616287231,A unit test
0-1avgpool_wave_h149c1m1k1d2_valid,PASS,0.0017874432273577345,33452,0.0017874432273577345,33452,18715,-1.000001,0,223.16755867004395,A unit test
0-1avgpool_wave_h17c768m768k3d1_same,PASS,0.029737901472864172,3420275,0.03666587545863982,4217089,115014,-1.000001,0,265.35015201568604,A unit test
0-1avgpool_wave_h1c192m192k1d1_valid,PASS,0.00016424708226586961,577,0.00016424708226586961,577,3513,-1.000001,0,264.1833736896515,A unit test
0-1avgpool_wave_h35c192m192k3d1_same,PASS,0.032036148799286575,4023484,0.03558189215873623,4468801,125592,-1.000001,0,273.23885107040405,A unit test
0-1avgpool_wave_h35c256m256k3d1_same,PASS,0.032388353910707275,5364645,0.035973079361246114,5958401,165635,-1.000001,0,276.2625505924225,A unit test
0-1avgpool_wave_h35c288m288k3d1_same,PASS,0.030073129531355106,6035226,0.033401604504571844,6703201,200685,-1.000001,0,292.3330011367798,A unit test
0-1avgpool_wave_h71c1m1k3d1_valid,PASS,0.0010108504333489294,90740,0.0010108504333489294,90740,89766,-1.000001,0,256.1663680076599,A unit test
0-1avgpool_wave_h8c1280m1280k3d1_same,PASS,0.020871349789381575,1025639,0.0316737754624448,1556481,49141,-1.000001,0,281.275018453598,A unit test
0-1avgpool_wave_h8c2048m2048k3d1_same,PASS,0.020800603348839566,1641022,0.031566412736237684,2490369,78893,-1.000001,0,289.31365275382996,A unit test
0-1avgpool_wave_h8c2048m2048k3d1_same_qemu_sem,PASS,0.020818547415160166,1641022,0.031593644148430064,2490369,78825,-1.000001,0,280.2805988788605,A unit test
0-1clipbyvalue_wave,PASS,1.9341703427214118e-05,57,1.9341703427214118e-05,57,2947,-1.000001,0,315.3956298828125,A unit test
0-1concat_h16c63m127ni5,PASS,0.2502256813949551,29561662,0.2502256813949551,29561662,118140,-1.000001,0,365.62805342674255,A unit test
